Walc,guardian,Result
1,mother,2
1,mother,2
1,mother,2
1,mother,3
1,mother,3
1,mother,3
1,mother,4
1,mother,4
1,mother,4
1,mother,5
1,mother,5
1,mother,5
1,mother,5
1,mother,5
1,mother,6
1,mother,6
1,mother,6
1,mother,7
1,mother,7
1,mother,7
1,mother,7
1,mother,7
1,mother,7
1,mother,7
1,mother,8
1,mother,8
1,mother,8
1,mother,8
1,mother,8
1,mother,8
1,mother,8
1,mother,8
1,mother,8
1,mother,8
1,mother,8
1,mother,8
1,mother,8
1,mother,8
1,mother,8
1,mother,8
1,mother,8
1,mother,9
1,mother,9
1,mother,9
1,mother,9
1,mother,9
1,mother,9
1,mother,9
1,mother,9
1,mother,9
1,mother,9
1,mother,9
1,mother,9
1,mother,9
1,mother,9
1,mother,9
1,mother,9
1,mother,9
1,mother,9
1,mother,9
1,mother,9
1,mother,10
1,mother,10
1,mother,10
1,mother,10
1,mother,10
1,mother,10
1,mother,10
1,mother,10
1,mother,10
1,mother,10
1,mother,10
1,mother,10
1,mother,10
1,mother,10
1,mother,10
1,mother,10
1,mother,10
1,mother,10
1,mother,10
1,mother,10
1,mother,10
1,mother,10
1,mother,10
1,mother,10
1,mother,10
1,mother,10
1,mother,10
1,mother,10
1,mother,10
1,mother,10
1,mother,10
1,mother,10
1,mother,10
1,mother,10
1,mother,11
1,mother,11
1,mother,11
1,mother,11
1,mother,11
1,mother,11
1,mother,11
1,mother,11
1,mother,11
1,mother,11
1,mother,11
1,mother,11
1,mother,11
1,mother,11
1,mother,11
1,mother,11
1,mother,11
1,mother,11
1,mother,11
1,mother,11
1,mother,11
1,mother,11
1,mother,11
1,mother,11
1,mother,11
1,mother,11
1,mother,11
1,mother,11
1,mother,12
1,mother,12
1,mother,12
1,mother,12
1,mother,12
1,mother,12
1,mother,12
1,mother,12
1,mother,12
1,mother,12
1,mother,12
1,mother,12
1,mother,12
1,mother,12
1,mother,12
1,mother,12
1,mother,12
1,mother,12
1,mother,12
1,mother,12
1,mother,12
1,mother,12
1,mother,12
1,mother,12
1,mother,12
1,mother,12
1,mother,12
1,mother,12
1,mother,12
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,13
1,mother,14
1,mother,14
1,mother,14
1,mother,14
1,mother,14
1,mother,14
1,mother,14
1,mother,14
1,mother,14
1,mother,14
1,mother,14
1,mother,14
1,mother,14
1,mother,14
1,mother,14
1,mother,14
1,mother,14
1,mother,14
1,mother,14
1,mother,14
1,mother,14
1,mother,14
1,mother,14
1,mother,14
1,mother,14
1,mother,15
1,mother,15
1,mother,15
1,mother,15
1,mother,15
1,mother,15
1,mother,15
1,mother,15
1,mother,15
1,mother,15
1,mother,15
1,mother,15
1,mother,15
1,mother,15
1,mother,15
1,mother,15
1,mother,15
1,mother,15
1,mother,15
1,mother,15
1,mother,16
1,mother,16
1,mother,16
1,mother,16
1,mother,16
1,mother,16
1,mother,16
1,mother,16
1,mother,16
1,mother,16
1,mother,16
1,mother,16
1,mother,16
1,mother,16
1,mother,16
1,mother,16
1,mother,16
1,mother,16
1,mother,16
1,mother,17
1,mother,17
1,mother,17
1,mother,17
1,mother,17
1,mother,17
1,mother,17
1,mother,17
1,mother,17
1,mother,17
1,mother,17
1,mother,17
1,mother,18
1,mother,18
1,mother,18
1,mother,18
1,mother,18
1,mother,18
1,mother,19
1,mother,19
1,mother,19
1,mother,19
1,mother,20
2,mother,2
