ID,Walc,Result,Count
1,Very low,2,0
1,Very low,2,1
1,Very low,2,2
1,Very low,2,3
1,Very low,3,0
1,Very low,3,1
1,Very low,3,2
1,Very low,3,3
1,Very low,4,0
1,Very low,4,1
1,Very low,4,2
1,Very low,5,0
1,Very low,5,1
1,Very low,5,2
1,Very low,5,3
1,Very low,5,4
1,Very low,5,5
1,Very low,6,0
1,Very low,6,1
1,Very low,6,2
1,Very low,6,3
1,Very low,6,4
1,Very low,6,5
1,Very low,7,0
1,Very low,7,1
1,Very low,7,2
1,Very low,7,3
1,Very low,7,4
1,Very low,7,5
1,Very low,7,6
1,Very low,7,7
1,Very low,7,8
1,Very low,7,9
1,Very low,8,0
1,Very low,8,1
1,Very low,8,2
1,Very low,8,3
1,Very low,8,4
1,Very low,8,5
1,Very low,8,6
1,Very low,8,7
1,Very low,8,8
1,Very low,8,9
1,Very low,8,10
1,Very low,8,11
1,Very low,8,12
1,Very low,8,13
1,Very low,8,14
1,Very low,8,15
1,Very low,8,16
1,Very low,8,17
1,Very low,8,18
1,Very low,8,19
1,Very low,8,20
1,Very low,8,21
1,Very low,9,0
1,Very low,9,1
1,Very low,9,2
1,Very low,9,3
1,Very low,9,4
1,Very low,9,5
1,Very low,9,6
1,Very low,9,7
1,Very low,9,8
1,Very low,9,9
1,Very low,9,10
1,Very low,9,11
1,Very low,9,12
1,Very low,9,13
1,Very low,9,14
1,Very low,9,15
1,Very low,9,16
1,Very low,9,17
1,Very low,9,18
1,Very low,9,19
1,Very low,9,20
1,Very low,9,21
1,Very low,9,22
1,Very low,9,23
1,Very low,9,24
1,Very low,9,25
1,Very low,9,26
1,Very low,9,27
1,Very low,9,28
1,Very low,10,0
1,Very low,10,1
1,Very low,10,2
1,Very low,10,3
1,Very low,10,4
1,Very low,10,5
1,Very low,10,6
1,Very low,10,7
1,Very low,10,8
1,Very low,10,9
1,Very low,10,10
1,Very low,10,11
1,Very low,10,12
1,Very low,10,13
1,Very low,10,14
1,Very low,10,15
1,Very low,10,16
1,Very low,10,17
1,Very low,10,18
1,Very low,10,19
1,Very low,10,20
1,Very low,10,21
1,Very low,10,22
1,Very low,10,23
1,Very low,10,24
1,Very low,10,25
1,Very low,10,26
1,Very low,10,27
1,Very low,10,28
1,Very low,10,29
1,Very low,10,30
1,Very low,10,31
1,Very low,10,32
1,Very low,10,33
1,Very low,10,34
1,Very low,10,35
1,Very low,10,36
1,Very low,10,37
1,Very low,10,38
1,Very low,10,39
1,Very low,10,40
1,Very low,10,41
1,Very low,10,42
1,Very low,11,0
1,Very low,11,1
1,Very low,11,2
1,Very low,11,3
1,Very low,11,4
1,Very low,11,5
1,Very low,11,6
1,Very low,11,7
1,Very low,11,8
1,Very low,11,9
1,Very low,11,10
1,Very low,11,11
1,Very low,11,12
1,Very low,11,13
1,Very low,11,14
1,Very low,11,15
1,Very low,11,16
1,Very low,11,17
1,Very low,11,18
1,Very low,11,19
1,Very low,11,20
1,Very low,11,21
1,Very low,11,22
1,Very low,11,23
1,Very low,11,24
1,Very low,11,25
1,Very low,11,26
1,Very low,11,27
1,Very low,11,28
1,Very low,11,29
1,Very low,11,30
1,Very low,11,31
1,Very low,11,32
1,Very low,11,33
1,Very low,11,34
1,Very low,11,35
1,Very low,11,36
1,Very low,11,37
1,Very low,11,38
1,Very low,11,39
1,Very low,11,40
1,Very low,11,41
1,Very low,11,42
1,Very low,11,43
1,Very low,11,44
1,Very low,11,45
1,Very low,11,46
1,Very low,12,0
1,Very low,12,1
1,Very low,12,2
1,Very low,12,3
1,Very low,12,4
1,Very low,12,5
1,Very low,12,6
1,Very low,12,7
1,Very low,12,8
1,Very low,12,9
1,Very low,12,10
1,Very low,12,11
1,Very low,12,12
1,Very low,12,13
1,Very low,12,14
1,Very low,12,15
1,Very low,12,16
1,Very low,12,17
1,Very low,12,18
1,Very low,12,19
1,Very low,12,20
1,Very low,12,21
1,Very low,12,22
1,Very low,12,23
1,Very low,12,24
1,Very low,12,25
