Walc,Result,Count
Very low,2,0
Very low,2,1
Very low,2,2
Very low,2,3
Very low,3,0
Very low,3,1
Very low,3,2
Very low,3,3
Very low,4,0
Very low,4,1
Very low,4,2
Very low,5,0
Very low,5,1
Very low,5,2
Very low,5,3
Very low,5,4
Very low,5,5
Very low,6,0
Very low,6,1
Very low,6,2
Very low,6,3
Very low,6,4
Very low,6,5
Very low,7,0
Very low,7,1
Very low,7,2
Very low,7,3
Very low,7,4
Very low,7,5
Very low,7,6
Very low,7,7
Very low,7,8
Very low,7,9
Very low,8,0
Very low,8,1
Very low,8,2
Very low,8,3
Very low,8,4
Very low,8,5
Very low,8,6
Very low,8,7
Very low,8,8
Very low,8,9
Very low,8,10
Very low,8,11
Very low,8,12
Very low,8,13
Very low,8,14
Very low,8,15
Very low,8,16
Very low,8,17
Very low,8,18
Very low,8,19
Very low,8,20
Very low,8,21
Very low,9,0
Very low,9,1
Very low,9,2
Very low,9,3
Very low,9,4
Very low,9,5
Very low,9,6
Very low,9,7
Very low,9,8
Very low,9,9
Very low,9,10
Very low,9,11
Very low,9,12
Very low,9,13
Very low,9,14
Very low,9,15
Very low,9,16
Very low,9,17
Very low,9,18
Very low,9,19
Very low,9,20
Very low,9,21
Very low,9,22
Very low,9,23
Very low,9,24
Very low,9,25
Very low,9,26
Very low,9,27
Very low,9,28
Very low,10,0
Very low,10,1
Very low,10,2
Very low,10,3
Very low,10,4
Very low,10,5
Very low,10,6
Very low,10,7
Very low,10,8
Very low,10,9
Very low,10,10
Very low,10,11
Very low,10,12
Very low,10,13
Very low,10,14
Very low,10,15
Very low,10,16
Very low,10,17
Very low,10,18
Very low,10,19
Very low,10,20
Very low,10,21
Very low,10,22
Very low,10,23
Very low,10,24
Very low,10,25
Very low,10,26
Very low,10,27
Very low,10,28
Very low,10,29
Very low,10,30
Very low,10,31
Very low,10,32
Very low,10,33
Very low,10,34
Very low,10,35
Very low,10,36
Very low,10,37
Very low,10,38
Very low,10,39
Very low,10,40
Very low,10,41
Very low,10,42
Very low,11,0
Very low,11,1
Very low,11,2
Very low,11,3
Very low,11,4
Very low,11,5
Very low,11,6
Very low,11,7
Very low,11,8
Very low,11,9
Very low,11,10
Very low,11,11
Very low,11,12
Very low,11,13
Very low,11,14
Very low,11,15
Very low,11,16
Very low,11,17
Very low,11,18
Very low,11,19
Very low,11,20
Very low,11,21
Very low,11,22
Very low,11,23
Very low,11,24
Very low,11,25
Very low,11,26
Very low,11,27
Very low,11,28
Very low,11,29
Very low,11,30
Very low,11,31
Very low,11,32
Very low,11,33
Very low,11,34
Very low,11,35
Very low,11,36
Very low,11,37
Very low,11,38
Very low,11,39
Very low,11,40
Very low,11,41
Very low,11,42
Very low,11,43
Very low,11,44
Very low,11,45
Very low,11,46
Very low,12,0
Very low,12,1
Very low,12,2
Very low,12,3
Very low,12,4
Very low,12,5
Very low,12,6
Very low,12,7
Very low,12,8
Very low,12,9
Very low,12,10
Very low,12,11
Very low,12,12
Very low,12,13
Very low,12,14
Very low,12,15
Very low,12,16
Very low,12,17
Very low,12,18
Very low,12,19
Very low,12,20
Very low,12,21
Very low,12,22
Very low,12,23
Very low,12,24
Very low,12,25
Very low,12,26
Very low,12,27
Very low,12,28
Very low,12,29
Very low,12,30
Very low,12,31
Very low,12,32
Very low,12,33
Very low,12,34
Very low,12,35
Very low,12,36
Very low,12,37
Very low,12,38
Very low,12,39
Very low,13,0
Very low,13,1
Very low,13,2
Very low,13,3
Very low,13,4
Very low,13,5
Very low,13,6
Very low,13,7
Very low,13,8
Very low,13,9
Very low,13,10
Very low,13,11
Very low,13,12
Very low,13,13
Very low,13,14
Very low,13,15
Very low,13,16
Very low,13,17
Very low,13,18
Very low,13,19
Very low,13,20
Very low,13,21
Very low,13,22
Very low,13,23
Very low,13,24
Very low,13,25
Very low,13,26
Very low,13,27
Very low,13,28
Very low,13,29
Very low,13,30
Very low,13,31
Very low,13,32
Very low,13,33
Very low,13,34
Very low,13,35
Very low,13,36
Very low,13,37
Very low,13,38
Very low,13,39
Very low,13,40
Very low,13,41
Very low,13,42
Very low,13,43
Very low,13,44
Very low,13,45
Very low,13,46
Very low,13,47
Very low,13,48
Very low,13,49
Very low,13,50
Very low,13,51
Very low,13,52
Very low,13,53
Very low,14,0
Very low,14,1
Very low,14,2
Very low,14,3
Very low,14,4
Very low,14,5
Very low,14,6
Very low,14,7
Very low,14,8
Very low,14,9
Very low,14,10
Very low,14,11
Very low,14,12
Very low,14,13
Very low,14,14
