ma,province,confirmed cases 
1,Hà Nội,417
2,Hà Giang,2
4,Cao Bằng,0
6,Bắc Kạn,0
8,Tuyên Quang,0
10,Lào Cai,2
11,Điện Biên,5
12,Lai Châu,1
14,Sơn La,0
15,Yên Bái,5
17,Hoà Bình,31
19,Thái Nguyên,6
20,Lạng Sơn,10
22,Quảng Ninh,89
24,Bắc Giang,97
25,Phú Thọ,4
26,Vĩnh Phúc,94
27,Bắc Ninh,147
30,Hải Dương,773
31,Hải Phòng,10
33,Hưng Yên,58
34,Thái Bình,51
35,Hà Nam,24
36,Nam Định,22
37,Ninh Bình,36
38,Thanh Hóa,25
40,Nghệ An,5
42,Hà Tĩnh,12
44,Quảng Bình,0
45,Quảng Trị,13
46,Thừa Thiên Huế,6
48,Đà Nẵng,556
49,Quảng Nam,121
51,Quảng Ngãi,7
52,Bình Định,0
54,Phú Yên,29
56,Khánh Hòa,139
58,Ninh Thuận,12
60,Bình Thuận,11
62,Kon Tum,0
64,Gia Lai,27
66,Đắk Lắk,5
67,Đắk Nông,0
68,Lâm Đồng,0
70,Bình Phước,0
72,Tây Ninh,38
74,Bình Dương,44
75,Đồng Nai,28
77,Bà Rịa - Vũng Tàu,106
79,Hồ Chí Minh,273
80,Long An,9
82,Tiền Giang,8
83,Bến Tre,20
84,Trà Vinh,8
86,Vĩnh Long,12
87,Đồng Tháp,28
89,An Giang,8
91,Kiên Giang,39
92,Cần Thơ,34
93,Hậu Giang,0
94,Sóc Trăng,4
95,Bạc Liêu,52
96,Cà Mau,8
